,MoleculeID,CERAPP_Ago_pred,CERAPP_Anta_pred,CERAPP_Bind_pred,CoMPARA_Ago_pred,CoMPARA_Anta_pred,CoMPARA_Bind_pred,CATMoS_VT_pred,CATMoS_NT_pred,CATMoS_EPA_pred,CATMoS_GHS_pred,CATMoS_LD50_pred,dtxsid,group_str,final_picks
2519,DTXSID0068494,0.0,0.0,0,0.0,0.0,0,0,1,4,5,7852.0,DTXSID0068494,"('Fatty Acyls', 3.0)",
2520,DTXSID2025973,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6219.0,DTXSID2025973,"('Carboxylic acids and derivatives', 5.0)",
2521,DTXSID9066964,0.0,0.0,0,0.0,1.0,1,0,0,3,4,676.0,DTXSID9066964,"('Azobenzenes', 6.0)",
2522,DTXSID2044422,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1489.0,DTXSID2044422,"('Organometallic compounds', 3.0)",
2523,DTXSID7027598,0.0,0.0,0,0.0,0.0,0,0,1,4,5,5648.0,DTXSID7027598,"('Organic oxoanionic compounds', nan)",
2524,DTXSID4059338,0.0,0.0,0,0.0,0.0,0,0,0,2,3,271.0,DTXSID4059338,"('Benzene and substituted derivatives', 10.0)",
2525,DTXSID90886774,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2552.0,DTXSID90886774,"('Anthracenes', 4.0)",
2526,DTXSID5052545,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2819.0,DTXSID5052545,"('Organoheterocyclic compounds', 3.0)",
2527,DTXSID0043715,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2424.0,DTXSID0043715,"('Benzene and substituted derivatives', 3.0)",
2528,DTXSID3047683,1.0,0.0,1,0.0,0.0,0,0,0,3,4,803.0,DTXSID3047683,"('Organoheterocyclic compounds', 3.0)",
2529,DTXSID20883453,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1029.0,DTXSID20883453,"('Benzene and substituted derivatives', 2.0)",
